"id","epic","phase","size","title","description","deps","files","acceptance","verify","notes","labels"
"P2-COL-004","EPIC-P2-COL","","L","Interplanetary cargo transfer API","Add API and service logic for sending resources between player-owned planets through cargo ships.","P2-COL-001 | P1-151 | P1-170","backend/src/features/logistics/cargo-transfer.ts | backend/src/routes/cargo.ts | backend/src/features/logistics/cargo-transfer.test.ts","Player can transfer resources only between owned colonies/planets | Cargo capacity and travel time are enforced | Resources are reserved atomically at departure | Cancelled/failed transfers cannot duplicate resources","API test sends cargo from home planet to colony and verifies reserved resources","Use the same resource transaction primitives from P1-151.",""
"P2-COL-005","EPIC-P2-COL","","M","Cargo route worker","Implement a worker that completes cargo transfers, applies delivered resources, and records failures safely.","P2-COL-004 | P1-221","backend/src/workers/cargo-routes.ts | backend/src/features/logistics/cargo-route-worker.test.ts","Completed transfer adds cargo to destination exactly once | Worker is idempotent when run repeatedly | Late or failed transfers are visible for debugging | Notifications can be emitted after delivery","Worker test advances time and verifies one-time delivery","Design for retry safety before optimizing throughput.",""
"P2-COL-006","EPIC-P2-COL","","M","Colony management UI","Add frontend screens for viewing colonies, switching active planet, and initiating cargo transfers.","P2-COL-004 | P1-201","frontend/src/pages/Colonies.tsx | frontend/src/components/CargoTransferDialog.tsx | frontend/src/hooks/useColonies.ts","Player can see all owned colonies and their core resources | Player can switch focus between planets | Cargo transfer dialog shows capacity, ETA, and validation errors | UI handles empty colony state cleanly","Manual/UI test: view colony list and start a cargo transfer","Keep UI dense and mobile-first for Telegram Mini App.",""
"P2-COL-007","EPIC-P2-COL","","M","Colonization constraints and cost balance","Define and enforce costs, cooldowns, max colony count, distance limits, and required tech/building gates for colonization.","P2-COL-002 | P2-RES-003","backend/src/config/colonization-rules.ts | backend/src/features/colonies/colonization-rules.ts | frontend/src/components/ColonizationRequirements.tsx","Colonization rules are declared in a typed config | Backend validates all gates before founding | Frontend can display why colonization is blocked | Balance numbers are documented for future tuning","Tests cover allowed and blocked colonization attempts","Prefer conservative limits until telemetry exists.",""
"P2-COL-008","EPIC-P2-COL","","L","Colonization end-to-end scenario","Add an automated scenario covering first colony discovery, colonizer build, colonization, and first cargo transfer.","P2-COL-006 | P2-COL-007","backend/tests/e2e/colonization.test.ts | frontend/tests/e2e/colonization.spec.ts","E2E scenario passes against local stack | Scenario covers at least one blocked colonization attempt | Scenario verifies no resource duplication during transfer | Test runtime remains acceptable for CI","Run backend and frontend colonization E2E tests","Use accelerated time hooks if workers would otherwise make CI too slow.",""
"P2-RES-001","EPIC-P2-RES","","M","Research effects engine","Implement a typed effects engine that applies research bonuses to production, storage, ship speed, sensor range, and build times.","P1-106 | P1-150","backend/src/features/research/effects.ts | backend/src/features/research/effects.test.ts","Effects are typed and testable | Multiple research bonuses compose deterministically | Backend services consume effects through a single API | No frontend-only bonus calculation is trusted","Unit tests verify stacked effects for resources and ships","This is the foundation for all research upgrades.",""
"P2-RES-002","EPIC-P2-RES","","M","Tech catalog levels 1-3","Expand the seeded research catalog to levels 1-3 for all planned Phase 2 branches.","P2-RES-001","backend/src/db/seed/research.ts | backend/src/config/research-catalog.ts","Each branch has levels 1-3 with cost and duration | Seeder is idempotent | Catalog includes ru/en names and descriptions | Catalog entries reference typed effects","Seed database and verify expected research count and effects","Use conservative effects until balance telemetry exists.",""
"P2-RES-003","EPIC-P2-RES","","M","Research unlock gates","Implement gates that unlock buildings, ships, colonization, and cargo capacity based on completed research.","P2-RES-002 | P1-160 | P1-170","backend/src/features/research/gates.ts | frontend/src/components/RequirementList.tsx | backend/src/features/research/gates.test.ts","Backend validates unlock gates for gated actions | Frontend can display missing research requirements | Research dependencies are stored in catalog config | Tests cover blocked and allowed actions","Tests confirm locked ship/building/colonization actions are rejected","This connects research to actual progression rather than just timers.",""
"P2-RES-004","EPIC-P2-RES","","M","Research completion worker and effect cache invalidation","Add worker logic for completing research, applying unlock state, and invalidating any cached effect snapshots.","P2-RES-001 | P1-221","backend/src/workers/research.ts | backend/src/features/research/completion.ts | backend/src/features/research/completion.test.ts","Research transitions to completed exactly once | Effects are available immediately after completion | Player notification is created if notifications are enabled | Worker is retry-safe","Worker test advances research and verifies effects become active","Avoid caching until needed; if cached, invalidate explicitly.",""
"P2-RES-005","EPIC-P2-RES","","M","Research UI levels 1-3","Upgrade the research UI to show full level 1-3 branches, requirements, effects, and real-time progress.","P2-RES-003 | P1-205","frontend/src/pages/Research.tsx | frontend/src/components/TechTreeNode.tsx | frontend/src/hooks/useResearch.ts","All available research branches and levels are visible | Locked nodes explain missing requirements | Completed research shows applied effects | Starting research updates UI optimistically with safe rollback","Manual/UI test starts and completes one level 2 research path","Keep rendering light enough for mobile Telegram webview.",""
"P2-POL-001","EPIC-P2-POL","","M","Economy balance simulator","Create a deterministic simulator for first-day and first-week resource, building, ship, research, and colonization progression.","P2-COL-007 | P2-RES-002","tools/balance-sim/ | tools/balance-sim/scenarios/first-week.json","Simulator can run without external services | Outputs key timings and bottleneck resources | Scenario fixtures cover beginner and optimized paths | Results are saved as artifacts for comparison","Run balance simulator and compare generated summary to expected ranges","This is a design safety tool, not gameplay code.",""
"P2-POL-002","EPIC-P2-POL","","S","Content and seed consistency audit","Add a repeatable audit that validates catalog seeds, resource ids, building ids, ship ids, and research ids against GDD-derived expectations.","P2-RES-002 | P1-104 | P1-105","backend/src/db/seed/audit.ts | backend/src/db/seed/audit.test.ts","Audit fails on missing or duplicate catalog ids | Audit verifies every user-facing catalog item has ru/en names | Audit checks resource tier consistency | Audit can run in CI","Run seed audit test suite","This prevents silent content drift as more phases are added.",""
"P2-POL-003","EPIC-P2-POL","","L","Phase 2 regression suite","Create a regression suite covering P2 colonization, research, and cargo flows together.","P2-COL-008 | P2-RES-005","backend/tests/e2e/phase2-regression.test.ts | docs/testing/phase2-regression.md","Suite covers one full expansion path from research completion to first colony cargo transfer | Suite validates no resource duplication across colony cargo transfer | Suite is documented for local and CI execution | Failures point to the responsible feature area","Run Phase 2 regression suite locally","This is the gate before breaking down P3 into fine-grained implementation tasks.",""
"P3-MAP-001","EPIC-P3-MAP","","L","Shared sector presence model","Define how player-owned colonies and fleets become visible in common sectors without exposing protected home-system data.","P2-COL-008 | P1-144","backend/src/db/schema/multiplayer.ts | backend/src/features/multiplayer/presence.ts | docs/multiplayer/visibility.md","Presence model distinguishes home, colony, fleet, and public sector entities | Visibility rules are explicit and testable | Data model supports multiple players in one sector | No private home-system entity leaks to another player","Visibility tests with two players in the same sector","This is a roadmap task; refine after P2 regression is stable.",""
"P3-MAP-002","EPIC-P3-MAP","","L","Sector map multiplayer UI","Add a sector map UI layer that can show other player colonies, visible fleets, neutral systems, and local player assets.","P3-MAP-001 | P1-203","frontend/src/pages/SectorMap.tsx | frontend/src/components/pixi/SectorRenderer.tsx","Map distinguishes local, neutral, and other-player entities | Entity details respect visibility permissions | UI remains usable on mobile | Unknown entities are represented without leaking hidden data","Manual/UI test with fixture sector containing two players","Use PixiJS patterns from home system map.",""
"P3-ALL-001","EPIC-P3-ALL","","L","Alliance membership model","Add alliance creation, membership, roles, invitations, and basic permissions.","P2-POL-003","backend/src/db/schema/alliances.ts | backend/src/features/alliances/membership.ts | backend/src/routes/alliances.ts","Player can create an alliance | Player can invite, accept, leave, and remove members according to role | Alliance size limit is enforced | Membership changes are auditable","API tests cover create, invite, accept, kick, and leave","Keep diplomacy simple until real multiplayer traffic exists.",""
"P3-ALL-002","EPIC-P3-ALL","","M","Alliance bank and permissions","Add a shared alliance bank with deposit/withdraw permissions and basic transaction logs.","P3-ALL-001 | P1-151","backend/src/features/alliances/bank.ts | frontend/src/pages/AllianceBank.tsx","Members can deposit allowed resources | Only permitted roles can withdraw | All transactions are logged | Bank actions cannot bypass storage/resource transaction safety","API tests cover deposit/withdraw permission paths","No automated alliance trading in this task.",""
"P4-DEP-001","EPIC-P4-DEPLOY","","L","Production environment plan","Document and implement the target production topology for backend, frontend, worker, Postgres, Redis, secrets, and domains.","P2-POL-003","docs/production/environment.md | infra/production/README.md","Production topology is documented with service responsibilities | Secrets strategy is documented and excludes repo storage | Deployment target and rollback approach are chosen | Open infrastructure costs are estimated","Production plan review checklist is completed","Do this before writing irreversible deployment automation.",""
"P4-DEP-002","EPIC-P4-DEPLOY","","L","Deployment pipeline and release workflow","Create CI/CD workflow for production deploys, migrations, release tagging, and rollback documentation.","P4-DEP-001 | P0-006",".github/workflows/deploy.yml | docs/production/release-workflow.md","Deploy pipeline runs from protected branch or manual approval | Database migrations are handled safely | Release tag and changelog are generated | Rollback procedure is documented and tested in staging","Run staging deployment and rollback drill","Do not deploy production directly before staging succeeds.",""
"P4-OPS-001","EPIC-P4-OPS","","M","Monitoring dashboards and alerts","Define metrics, logs, alerts, and dashboards for API health, worker queues, database, Redis, Telegram bot, and user-facing errors.","P4-DEP-001 | P0-007 | P0-008","docs/production/observability.md | backend/src/lib/metrics.ts","Critical alerts exist for API down, worker stuck, DB unavailable, queue backlog, and high error rate | Dashboard shows key service health | Runbook links are attached to alerts | Alert thresholds are documented","Trigger test alert and verify runbook path","Start pragmatic; avoid over-instrumentation before launch.",""
"P4-OPS-002","EPIC-P4-OPS","","M","Backups and restore drill","Implement and document database backup, restore, retention, and verification process.","P4-DEP-001","docs/production/backups.md | infra/production/backup-checklist.md","Backup schedule and retention are documented | Restore process works in staging | Restore drill captures RPO/RTO | Secrets and PII handling are documented","Run staging restore drill from backup artifact","A backup that has not been restored is not considered valid.",""
"P4-SEC-001","EPIC-P4-SEC","","L","Security hardening and abuse limits","Audit and harden auth, Telegram initData validation, rate limits, request validation, secret handling, and write endpoints.","P1-120 | P2-POL-003","docs/security/launch-checklist.md | backend/src/lib/rate-limit.ts | backend/src/lib/security.ts","All public mutation endpoints have rate limits and validation | Telegram auth cannot be replayed outside accepted rules | Secrets are loaded from production secret storage | Security checklist is documented and reviewed","Run security checklist and endpoint validation tests","This is a launch gate, not optional polish.",""
"P4-SEC-002","EPIC-P4-SEC","","M","Economy exploit and anti-cheat review","Add tests and review notes for resource duplication, clock abuse, repeated worker execution, and cargo settlement exploits.","P2-POL-003","docs/security/economy-exploits.md | backend/tests/security/economy-exploits.test.ts","Known exploit classes have regression tests or documented mitigations | Worker idempotency is verified for critical paths | Cargo/resource loops are reviewed | Risk register is updated with accepted risks","Run economy exploit regression suite","This should happen before any real-money monetization.",""
"P4-ANA-001","EPIC-P4-ANALYTICS","","M","Product analytics event taxonomy","Define and implement core product analytics events for onboarding, retention, building, ships, research, expeditions, and monetization.","P1-206 | P2-POL-003","docs/analytics/events.md | frontend/src/lib/analytics.ts | backend/src/lib/analytics.ts","Analytics event taxonomy is documented | Events include stable names and safe properties | No sensitive Telegram data is sent unnecessarily | Frontend and backend emit critical events consistently","Run local analytics sink and verify core events","Analytics is required for balance and retention decisions.",""
"P4-MON-001","EPIC-P4-MON","","L","Monetization and Telegram policy readiness","Define launch-safe monetization surfaces, Telegram policy constraints, purchase flow boundaries, and non-pay-to-win guardrails.","P4-ANA-001 | P4-SEC-001","docs/product/monetization.md | docs/product/telegram-policy-checklist.md","Monetization design is documented and mapped to Telegram requirements | No paid flow is implemented without policy review | Economy impact and abuse risks are documented | Implementation tasks can be created from the approved plan","Complete monetization readiness review checklist","Keep this as design/readiness until the game loop is validated.",""
"P5-LIVE-001","EPIC-P5-LIVE","","M","Live ops calendar and event framework","Create the framework for scheduled live events, modifiers, announcements, and rollback/disable switches.","P4-DEP-002 | P4-ANA-001","docs/liveops/events.md | backend/src/features/liveops/events.ts | frontend/src/components/LiveEventBanner.tsx","Event calendar format is documented | Events can be enabled/disabled without deployment | Announcements can be shown in TMA and bot | Rollback path is documented","Enable a test event locally and verify UI/banner state","Live ops begins after launch readiness, not before core stability.",""
"P5-CONT-001","EPIC-P5-CONTENT","","M","Content pack pipeline","Define how new resources, buildings, ships, research, events, and localized text are added safely after launch.","P2-POL-002 | P5-LIVE-001","docs/content/content-packs.md | tools/content-validate/","Content pack format is documented | Validation catches missing localization and invalid ids | Content can be reviewed before enabling | Rollback process exists for bad content","Validate a sample content pack with intentional errors","This reduces risk when the game starts receiving ongoing content.",""
"P5-BAL-001","EPIC-P5-BALANCE","","M","Balance review loop and telemetry dashboard","Create the recurring balance review process using analytics, economy simulator outputs, retention data, and player progression metrics.","P2-POL-001 | P4-ANA-001","docs/liveops/balance-loop.md | tools/balance-sim/reports/","Balance review checklist exists | Telemetry dashboard tracks progression bottlenecks | Simulator scenarios can be compared between balance versions | Changes produce documented before/after notes","Run a sample balance review using synthetic telemetry","This is the process that keeps the game maintainable after launch.",""
"P5-SUP-001","EPIC-P5-SUPPORT","","M","Support and admin runbook","Document support workflows for player lookup, issue triage, refunds/compensation policy, incident response, and safe admin actions.","P4-OPS-001 | P4-SEC-001","docs/support/runbook.md | docs/support/admin-actions.md","Support runbook covers common player issues | Admin actions require audit logs or manual log procedure | Compensation policy is documented | Incident response path is clear","Run tabletop incident/support scenario against the runbook","Do not expose admin tools before audit and permission rules exist.",""
"P2-EPIC-POLISH","EPIC-P2-POL","","L","[Эпик] Phase 2 balance, polish, and regression gate","Top-level Phase 2 gate that groups economy simulation, content audit, and regression work required before the roadmap should proceed into detailed Phase 3 execution.","P2-POL-001 | P2-POL-002 | P2-POL-003","tasks/ROADMAP_COVERAGE_MATRIX.md | docs/testing/phase2-regression.md | tools/balance-sim/","P2 balance simulator produces a reviewable first-week report | Content audit passes against catalog and localization expectations | Phase 2 regression suite passes locally and is documented | Known P2 tuning risks are recorded before Phase 3 task breakdown","Review Phase 2 completion gate evidence in ROADMAP_COVERAGE_MATRIX.md","This is an epic issue for Project navigation, not a separate implementation module.",""
"P4-EPIC-LAUNCH","EPIC-P4-DEPLOY","","XL","[Эпик] Production launch readiness","Top-level launch readiness gate covering production deployment, observability, backups, security hardening, analytics, and monetization policy readiness.","P4-DEP-002 | P4-OPS-001 | P4-OPS-002 | P4-SEC-001 | P4-ANA-001 | P4-MON-001","docs/production/ | docs/security/ | docs/analytics/ | docs/product/","Staging deployment and rollback workflow are proven | Monitoring, alerting, and backup restore drill are complete | Security and abuse-prevention checklists pass | Analytics and monetization readiness documents are reviewed","Complete launch readiness checklist and link all evidence in the issue","Keep this epic open until production launch is genuinely ready.",""
"P5-EPIC-LIVEOPS","EPIC-P5-LIVE","","L","[Эпик] Live operations readiness","Top-level post-launch operations gate covering events, content packs, balance review, and support/admin runbooks.","P5-LIVE-001 | P5-CONT-001 | P5-BAL-001 | P5-SUP-001","docs/liveops/ | docs/content/ | docs/support/ | tools/content-validate/","Live event framework can be enabled and disabled safely | Content pack validation catches bad content before rollout | Balance review loop has simulator and telemetry inputs | Support/admin runbook is usable for incident and player-support scenarios","Complete live-ops readiness review and link evidence in the issue","This epic starts after launch readiness and remains the umbrella for ongoing live work.",""
"P1.1-300","EPIC-P1.1-FIX","","M","Внедрить новый дизайн Cosmic Atlas (Planet System.html)","Перевести фронтенд (Home, PlanetDetail, Research, Ships, SystemMap, BuildDialog, UpgradeDialog, BuildQueue, ResourceBar, BuildingSlot, PlanetView) на новый визуальный язык из design-bundle/project/New Universe - Planet System.html: токены (var(--bg-deep), var(--accent), фонты Space Grotesk / IBM Plex Mono / Manrope), биом-SVG для 7 классов планет, единый набор иконок 10 типов построек, top resource bar с %-баром, planet rail, queue strip, единый bottom-nav на всех экранах.","P1-201 | P1-202 | P1-203 | P1-204 | P1-205","frontend/index.html | frontend/src/index.css | frontend/src/components/cosmic/atoms.tsx | frontend/src/components/cosmic/planets.tsx | frontend/src/components/cosmic/buildings.tsx | frontend/src/components/cosmic/resources.ts | frontend/src/components/{BuildDialog,UpgradeDialog,BuildQueue,BuildingSlot,PlanetView,ResourceBar}.tsx | frontend/src/pages/{Home,PlanetDetail,Research,Ships,SystemMap}.tsx","В index.css определены CSS-переменные дизайна; index.html подгружает шрифты | frontend/src/components/cosmic/* содержит общие атомы (CosmicTopBar, PlanetPortrait, PlanetRail, BuildSlot, QueueStrip, CosmicBottomNav, CosmicBackground) | Home, PlanetDetail, Research, Ships, SystemMap используют общий цветовой/типографический токен-сет и фон со звёздами | Все эмодзи-плейсхолдеры (🌍 ⛏️ ⚡ 🏭) заменены на SVG-компоненты | tsc --noEmit и eslint без новых ошибок","cd frontend && npm run build (после npm install) — должен пройти без ошибок; визуальная проверка PlanetDetail/Home в Telegram dev frame.","Дизайн-бандл лежит в design-bundle/. Для оставшихся 2 направлений (Operator HUD, Stellar Cartograph) тема перенесена через CSS-переменные, переключение между темами — задача более позднего эпика.",""
"P1.1-301","EPIC-P1.1-FIX","","S","Согласовать research_lab ↔ lab между фронтендом и бэкендом","В backend/src/features/research/data.ts и routes.ts требования всех уровней tech-tree указывают typeId 'research_lab', но в каталоге зданий (backend/src/db/seed/building-types.ts) такого id нет — есть 'lab'. Из-за этого реальный игрок не сможет начать ни одно исследование, потому что labReq.find(...) всегда вернёт несуществующее здание. Привести оба слоя к единому id ('lab') и обновить тесты.","P1-205","backend/src/features/research/data.ts | backend/src/features/research/routes.ts | backend/src/features/research/research.test.ts | frontend/src/lib/tech-tree.ts | frontend/src/pages/Research.tsx","В backend/src/features/research/{data.ts,routes.ts} вместо 'research_lab' используется 'lab' | frontend/src/lib/tech-tree.ts использует 'lab' (или резолвер resolveBuildingType, который уже мапит legacy-id) | frontend/src/pages/Research.tsx читает уровень здания корректно и для legacy-документов | Тесты backend/src/features/research/research.test.ts проходят зелёным после правки и не используют research_lab | Никаких поисков по research_lab в репозитории кроме миграционных комментариев","rg -n 'research_lab' backend frontend → нет совпадений; backend tests на research зелёные.","На время миграции resolveBuildingType (frontend) уже обрабатывает alias 'research_lab' → 'lab' для безопасного рендера старых данных, но это не заменяет согласование на бэкенде.",""
"P1.1-302","EPIC-P1.1-FIX","","S","Заменить power_plant на solar_plant во фронтенд-плейсхолдерах","BuildingSlot.tsx и BuildDialog.tsx (legacy) показывали ⚡ для зданий с typeId 'power_plant'. Бэкенд таких зданий не имеет — есть только 'solar_plant'. Удалить упоминания 'power_plant' и любые другие плейсхолдер-id, не существующие в каталоге.","P1-202","frontend/src/components/cosmic/buildings.tsx | frontend/src/components/BuildDialog.tsx | frontend/src/components/BuildingSlot.tsx","rg -n 'power_plant' frontend → нет совпадений | Иконки построек берутся из shared resolveBuildingType → BUILDING_BY_TYPE, без хардкоженых эмодзи | Юнит-тест на resolveBuildingType с unknown id возвращает дефолт","grep -r power_plant frontend/src → пусто; ручная проверка экрана PlanetDetail с пустым/занятым слотом.","Уже выполнено в рамках P1.1-300, но оформлено отдельной задачей для прозрачности.",""
"P1.1-303","EPIC-P1.1-FIX","","M","Согласовать ресурсы tech-tree с каталогом ресурсов (metal/crystal/deuterium)","Стоимости в backend/src/features/research/data.ts (и копия в frontend/src/lib/tech-tree.ts) указаны в ресурсах metal, crystal, deuterium. Этих id нет в backend/src/db/seed/resources.ts (есть iron, silicon, water, methane, copper, aluminum, titanium, ice, sulfur, mercury, magnesium, lead, uranium, cobalt, silicon_carbide, tritium, antimatter, dark_matter, iridium, biomass). Из-за этого spend() при старте исследования ломается. Привести стоимости к актуальному каталогу (например iron вместо metal, silicon вместо crystal, tritium вместо deuterium) и обновить тесты.","P1-205 | P1.1-301","backend/src/features/research/data.ts | backend/src/features/research/research.test.ts | frontend/src/lib/tech-tree.ts | shared/types/research.ts","Все ResearchDefinition.cost содержат только id из таблицы resources | В backend/src/features/research/research.test.ts корректно тестируется списание ресурсов | frontend/src/lib/tech-tree.ts синхронизирован с backend (или импортирует из shared)","rg -n 'metal|crystal|deuterium' backend/src frontend/src → только в комментариях/миграциях; backend тесты зелёные.","Уместно вынести единый источник правды tech-tree в shared/data/research.ts, чтобы в будущем не плодились копии.",""
"P1.1-304","EPIC-P1.1-FIX","","M","Заполнить tech-tree до 7×5 уровней (acceptance P1-205)","Acceptance criteria P1-205 требуют 7 веток × 5 уровней = 35 определений. Сейчас в backend/src/features/research/data.ts всего 10 записей. Дополнить недостающими уровнями (mining 3-5, engineering 2-5, engines 2-5, weapons 2-5, sensors 2-5, logistics 2-5, jump_drive 2-5) с разумной кривой стоимости/времени.","P1.1-303","backend/src/features/research/data.ts | frontend/src/lib/tech-tree.ts | shared/types/research.ts","Все 35 ResearchDefinition присутствуют в backend и совпадают с frontend | Стоимости и время растут монотонно по уровню | Каждая ветка level ≥ 2 имеет research-зависимость на свой предыдущий уровень | UI Research.tsx показывает все 7 строк и узлов","Скрипт: загрузить data.ts и убедиться, что count by branch == 5 и общее число == 35. UI smoke-тест: нет пустых узлов.","Можно сгенерировать прогрессии формулой cost[L]=cost[1]*1.6^(L-1), time[L]=time[1]*2^(L-1).",""
"P1.1-305","EPIC-P1.1-FIX","","S","Исправить ResourceBar: regenRate в /h, реальная capacity","Старая ResourceBar делала currentAmount + regenRate * deltaSeconds, но backend хранит regenRate в единицах /h. Это приводило к в 3600 раз более быстрому росту в UI. Кроме того, capacity (cap) была равна текущему amount — бар прогресса всегда показывал 100%. Подтянуть regenRate /h и реальный storageCap (либо из /me, либо из /planets/{id}/resources).","P1-150 | P1-201","backend/src/features/resources/routes.ts | backend/src/features/auth/me.ts | frontend/src/components/ResourceBar.tsx | shared/types/world.ts","ResourceBar делит regenRate на 3600 при per-frame инкременте | В payload /me и /planets/{id}/resources есть поле storageCap, которое отображается в .rchip-bar | Юнит-тест: при regenRate=60/h за 1 сек amount растёт на ~0.0167 | Бар-индикатор переходит в amber при ≥85% заполнения","Открыть PlanetDetail на 1 минуту: amount должен расти примерно на regenRate/60, не на regenRate*60.","В P1.1-300 уже реализовано деление /3600 во фронтенде; cap пока эвристический — этот таск завершает работу подтягиванием реального cap из API.",""
"P1.1-306","EPIC-P1.1-FIX","","S","Сделать клик по зданию на Home → переход в PlanetDetail к этому зданию","Acceptance P1-201: «Tap на здание → открывает деталь». Сейчас PlanetView.tsx переходит на /planet/:id, но не подсвечивает выбранный слот и не открывает UpgradeDialog. Передавать ?slot=N в роутере и автоматически открывать UpgradeDialog/BuildDialog в PlanetDetail.","P1-201 | P1.1-300","frontend/src/components/PlanetView.tsx | frontend/src/pages/PlanetDetail.tsx","Tap по filled-слоту на Home открывает PlanetDetail и сразу UpgradeDialog для этого здания | Tap по empty-слоту на Home открывает PlanetDetail и сразу BuildDialog для этого слота | URL содержит ?slot=N для возможности deep-link","Manual: на Home tap по слоту с шахтой → открыт диалог апгрейда шахты.","Сейчас в коде PlanetView просто navigate(`/planet/${id}`) без slot.",""
"P1.1-307","EPIC-P1.1-FIX","","M","Onboarding tutorial (P1-206) — был не реализован","Изначальный P1-206 (5-шаговый туториал Welcome → mine → storage → scout → expedition) не был реализован лёгкой моделью. После редизайна реализовать как overlay поверх Cosmic Atlas: список шагов слева, текущая подсказка как тост, награда 200 Fe + 100 H₂O при завершении. Skipable с возможностью вернуться позже из профиля.","P1-150 | P1-160 | P1-180","backend/src/db/schema/users.ts | backend/src/features/auth/me.ts | backend/src/features/tutorial/routes.ts | frontend/src/pages/Onboarding.tsx | frontend/src/App.tsx","Запускается на первом входе нового user (по флагу tutorialCompletedAt в users) | 5 шагов: Welcome, Build first mine, Build storage, Build scout, Send first expedition | Кнопка Skip; после Skip туториал доступен из экрана Profile/You | При прохождении начисляется бонус 200 Fe + 100 H₂O атомарно (через resource-transaction) | Tutorial state хранится в БД (users.tutorialStepCompleted, users.tutorialCompletedAt)","E2E: новый пользователь, /me возвращает tutorialStep=0, после прохождения — completed + бонус, повторный вход не открывает туториал.","Это одна из двух явно отложенных задач, на которую ссылается заказчик.",""
"P1.1-308","EPIC-P1.1-FIX","","M","Playwright E2E на новый дизайн (P1-241 финализация)","P1-241 был отмечен как done с минимальным smoke-тестом. После редизайна Cosmic Atlas обновить E2E чтобы проверял: загрузку Home, переход на PlanetDetail, открытие BuildDialog, выбор шахты, появление в queue strip, переход на Research, Ships, SystemMap. Все ассерты на data-testid атрибуты, не на DOM-структуру.","P1-241 | P1.1-300","frontend/tests/e2e/*.spec.ts | frontend/playwright.config.ts | frontend/src/components/cosmic/atoms.tsx","Все ключевые экраны имеют data-testid: cosmic-topbar, planet-portrait, planet-rail, slot-{idx}, queue-strip, bnav-{id} | tests/e2e/first-day.spec.ts проходит зелёным end-to-end | CI запускает Playwright против собранного frontend (npm run build && npm run preview)","npm run test:e2e — pass.","Вторая из двух явно отложенных задач.",""
"P1.1-309","EPIC-P1.1-FIX","","S","Profile-таб и dummy /profile роут","Bottom-nav имеет 5 пунктов, последний — You/Profile. Сейчас /profile роута нет; навигация ведёт в 404 (BrowserRouter без catch-all). Добавить минимальный экран Profile (Telegram-аватар, ник, sectorX:Y:Z, статистика, ссылка на туториал) и зарегистрировать в App.tsx.","P1-200 | P1.1-300","frontend/src/pages/Profile.tsx | frontend/src/App.tsx | frontend/src/components/cosmic/atoms.tsx","Маршрут /profile рендерит ProfilePage в Cosmic Atlas стиле | Bottom-nav 'You' → /profile | При отсутствии данных показывается заглушка вместо краша","Tap на 'You' → Profile открывается, не 404.","Лёгкий первый шаг — расширение в P2.",""
